Twitter Handle,Incumbent?,Age,Followers Count,Climate Bool,Total Tweet Count
lontinehd1,Yes,,2237.0,True,754
alecgarnett,Yes,37.0,5102.0,False,661
repmegfroe,Yes,57.0,2884.0,True,1692
serenaforco,Yes,39.0,1648.0,False,64
valdezforco,Yes,,1984.0,True,554
woodrowforco,Yes,40.0,1417.0,True,3458
baconforco,No,38.0,271.0,False,1
leslieherod,Yes,,14909.0,True,3077
emilyforco,Yes,41.0,14343.0,True,350
mccormickforco,No,63.0,1219.0,True,1906
foleycohd14,No,50.0,275.0,True,1057
vigilforhd16,No,,,True,2590
marcsnyderhd18,Yes,60.0,809.0,False,3
hd21liz,No,38.0,578.0,True,1238
parker4c,No,,88.0,False,116
monicaduran24,Yes,,1477.0,True,430
cutter4colorado,Yes,59.0,1313.0,True,319
dylan_robertsco,Yes,31.0,3202.0,True,838
briannaforco,Yes,40.0,6427.0,True,3390
kerrytipperhd28,Yes,38.0,1612.0,True,147
dafna_m,Yes,47.0,4270.0,True,240
yadiracaraveo,Yes,39.0,1769.0,True,350
matthewogray,Yes,,2278.0,True,926
kyle_mullica,Yes,34.0,1549.0,True,164
skbird77,Yes,,1320.0,True,683
mjweissman,Yes,43.0,1355.0,False,69
sully_720,Yes,54.0,5490.0,False,418
daviddortizco,No,37.0,1461.0,True,1213
chapmancohd39,No,27.0,123.0,True,378
naquettaricks,No,52.0,895.0,False,33
imanforcolorado,No,38.0,4964.0,True,162
jackson4co,Yes,,1208.0,True,557
jennforcolorado,No,,369.0,True,68
katieforcohd45,No,,702.0,True,1986
dlesgar,Yes,41.0,3848.0,True,315
bri4co,Yes,,1833.0,True,678
repmaryyoung,Yes,70.0,266.0,False,51
cathy_kipp,Yes,57.0,923.0,True,193
colincaresforco,No,36.0,18.0,False,32
scagin,No,67.0,126.0,True,152
mccluskieforco,Yes,56.0,1893.0,True,595
diannekrumel,No,,178.0,False,13
mariewoodsonfl,No,,339.0,False,304
cindypolofl103,Yes,31.0,5034.0,True,2119
maureenfor105,No,32.0,692.0,False,353
votemcfadden,No,72.0,1718.0,False,217
collazofor110,No,,673.0,True,168
votebado,No,,239.0,True,326
franccesca4fl,No,,521.0,True,390
bob4florida,No,,2386.0,True,4156
rickyjunquera,No,34.0,613.0,True,705
clintforflorida,No,39.0,257.0,False,5
kayserenneking,No,,1593.0,True,1004
byramfl,No,64.0,184.0,True,452
cynthiaforhouse,No,22.0,431.0,True,533
voteadammorley,No,,122.0,False,28
zutterforfl,No,,350.0,True,252
henryfor26,No,,264.0,True,312
doloresfor27,No,,847.0,True,1085
pashaforfl,No,,1014.0,True,442
tracey4florida,No,,1124.0,True,1426
joyforfl,Yes,52.0,1111.0,True,559
crissystile,No,,106.0,True,238
danforpasco,No,,,True,816
votetammygarcia,No,,362.0,True,596
gostaver2020,No,,15.0,False,10
itschriscause,No,,254.0,True,1116
janforflorida40,No,,,True,245
jaredforflorida,No,,493.0,True,614
daisy4florida,No,,56.0,False,6
carlosgsmith,Yes,39.0,19632.0,True,3443
ninaforflorida,No,,,True,268
dabbsford52,No,,,True,532
philmooreforfl,No,46.0,407.0,True,329
trippforflorida,No,,,False,60
andrewlearned,No,33.0,9954.0,True,1663
jenkinsforfl,No,,550.0,True,752
fentriceforfl,Yes,41.0,2136.0,False,254
jhforfl,No,35.0,6009.0,True,3349
kelly4florida,No,,539.0,True,617
mele_71,No,,74.0,True,25
buckmanforfl,No,51.0,247.0,True,233
lisastortstrom,No,53.0,421.0,True,552
anselmweber,No,,380.0,True,268
votelopezfor77,No,36.0,,True,881
fornearforhd79,No,,927.0,True,1071
novosad4florida,No,,101.0,True,251
elisaforflorida,No,,132.0,True,163
delores_fl,Yes,71.0,419.0,False,107
jimcarrollcamp1,No,,,False,28
omarijhardy,No,,167498.0,True,2900
bonfigliojim89,No,67.0,549.0,True,144
electlinda2020,No,72.0,227.0,True,113
christineforfla,No,,59.0,False,15
cooper4georgia,No,,175.0,False,95
greggkennard,Yes,54.0,462.0,False,149
cwmar312,No,65.0,34.0,False,5
nakitahemingway,No,44.0,405.0,False,178
repdonnamcleod,Yes,52.0,1200.0,True,819
rebecca4georgia,No,39.0,1792.0,False,1904
shellyforga,Yes,49.0,1664.0,False,1102
jasmineforhd108,Yes,37.0,2961.0,True,977
reginalewisward,No,27.0,2450.0,False,564
ebony4georgia,No,24.0,,True,670
hollyforga111,Yes,44.0,1189.0,True,504
irishlassis,No,,1431.0,True,3415
spencerfrye,Yes,,1985.0,False,48
wallacefor119,No,41.0,1567.0,True,1632
hollifieldhouse,No,,40.0,False,25
chrisbentonga,No,,3959.0,True,372
sprayberry4ga,No,,96.0,True,1088
arnett4georgia,No,,430.0,False,378
stephenforga,No,,133.0,False,19
awungregina,No,,15.0,True,114
electjoybarlow,No,,595.0,False,218
gleasonforga,No,42.0,190.0,False,64
marcusforga164,No,,114.0,True,194
ibackmackforga1,No,34.0,20.0,False,15
votearrendale,No,29.0,38.0,False,22
juliejordan4ga,No,54.0,900.0,True,214
qdaileyhouserep,No,,17.0,False,12
alisonforga,No,52.0,7.0,False,14
ginnyforga20,No,,257.0,True,132
charlesravensc1,No,,282.0,False,45
nhouse24,No,31.0,192.0,True,307
christa4georgia,No,,609.0,True,695
votejasonboskey,No,27.0,141.0,False,60
leighforgeorgia,No,,244.0,False,139
kylerinaudo,No,25.0,743.0,False,131
repmaryfrances,Yes,,1116.0,True,544
repdwilkerson,Yes,51.0,2185.0,False,195
repmichaelsmith,Yes,39.0,239.0,False,3
tanulewicz,Yes,44.0,2373.0,False,2227
electluisa,No,52.0,1458.0,True,588
maryrobichaux48,Yes,69.0,1093.0,False,171
angelikaforga,Yes,56.0,1836.0,True,971
joshforgeorgia,Yes,28.0,2445.0,True,1932
sheaforgeorgia,No,46.0,1885.0,True,1586
betsyforgeorgia,Yes,45.0,1587.0,False,382
meshamainor,No,,239.0,False,193
evansforgeorgia,No,42.0,5490.0,True,711
cannonfor58,Yes,31.0,5500.0,True,1164
state_rep_kim,Yes,60.0,513.0,True,353
reprogerbruce61,Yes,67.0,1455.0,False,40
repbazemore63,Yes,,639.0,False,132
repkalexander,Yes,58.0,1516.0,False,23
pinkrocktopus,No,,30549.0,True,4094
fredrovner,No,72.0,2.0,False,9
mwilsonga,Yes,36.0,5871.0,False,782
repscottholcomb,Yes,29.0,7866.0,True,2126
mmo_mary,Yes,72.0,3611.0,False,64
beckyevansga,Yes,59.0,305.0,True,134
renittashannon,Yes,,4369.0,True,957
zulmaforgeorgia,No,39.0,296.0,False,145
electvioladavis,Yes,57.0,168.0,False,104
beeforgeorgia,Yes,30.0,9726.0,True,1609
doreencarter4ga,Yes,57.0,511.0,False,149
darshunkendrick,Yes,38.0,12590.0,True,3565
kbennettcares,Yes,63.0,2552.0,False,307
mooreforgeorgia,Yes,38.0,3318.0,True,388
votetaehocho,No,69.0,36.0,False,34
marvinlimforga,No,37.0,392.0,False,59
jensenforiowa,No,59.0,,False,40
hallforiowa,Yes,35.0,3302.0,True,412
charliemcconkey,Yes,65.0,752.0,False,146
demdamon,No,,64.0,False,9
millerforiowa,No,21.0,160.0,False,27
akoabdulsamad,Yes,69.0,4910.0,True,207
martiiowa,Yes,69.0,1745.0,True,78
andreajphillips,No,44.0,2133.0,True,520
matsonforhouse,Yes,41.0,2094.0,True,1372
karinderry4iowa,Yes,57.0,1903.0,True,718
sundeforiowa,Yes,47.0,1169.0,False,142
konfrstforhouse,Yes,46.0,2224.0,True,681
kenan4iowa,Yes,,715.0,False,74
bweskroe,Yes,61.0,838.0,False,9
letsbeiowa,Yes,49.0,1631.0,False,270
jack_4_48,No,,51.0,True,81
repprichard,Yes,46.0,2258.0,False,113
ssteckman,Yes,73.0,2119.0,True,874
kaylaforiowa,No,30.0,1202.0,False,68
iowaquinn,No,,38.0,False,22
bobkressig,Yes,66.0,1723.0,False,800
williams4iowa,Yes,66.0,530.0,False,93
timiforiowa,Yes,53.0,905.0,False,5
rassmith62,Yes,32.0,2777.0,True,642
lizbennettiowa,Yes,38.0,2321.0,True,167
staedart,Yes,71.0,1720.0,True,402
ericforiowa,No,41.0,1055.0,True,299
mdonahueforia,Yes,,1211.0,True,2206
wanasattia,No,41.0,5942.0,True,691
rubyforiowa,No,,2462.0,True,3621
sarahsmithhd76,No,,183.0,False,121
cindywinckler,Yes,70.0,925.0,False,25
kelceybrackett,No,45.0,196.0,False,45
gleason4iowa,No,56.0,112.0,False,18
andrewsforiowa,No,,505.0,True,293
lindsay4iowa,Yes,39.0,2135.0,False,559
shriformi,No,60.0,4519.0,False,24
abrahamaiyash,No,,7760.0,True,1138
kaylyme,Yes,,11829.0,False,436
bethformi101st,No,52.0,90.0,True,620
votedanoneil,No,61.0,4165.0,False,205
doctorricher,No,48.0,337.0,True,100
maryforrep,No,31.0,150.0,True,156
