Twitter Handle,Incumbent?,Age,Followers Count
lontinehd1,Yes,,2237.0
alecgarnett,Yes,37.0,5102.0
repmegfroe,Yes,57.0,2884.0
serenaforco,Yes,39.0,1648.0
valdezforco,Yes,,1984.0
woodrowforco,Yes,40.0,1417.0
baconforco,No,38.0,271.0
leslieherod,Yes,,14909.0
emilyforco,Yes,41.0,14343.0
mccormickforco,No,63.0,1219.0
foleycohd14,No,50.0,275.0
vigilforhd16,No,,
marcsnyderhd18,Yes,60.0,809.0
hd21liz,No,38.0,578.0
parker4c,No,,88.0
monicaduran24,Yes,,1477.0
cutter4colorado,Yes,59.0,1313.0
dylan_robertsco,Yes,31.0,3202.0
briannaforco,Yes,40.0,6427.0
kerrytipperhd28,Yes,38.0,1612.0
dafna_m,Yes,47.0,4270.0
yadiracaraveo,Yes,39.0,1769.0
matthewogray,Yes,,2278.0
kyle_mullica,Yes,34.0,1549.0
skbird77,Yes,,1320.0
mjweissman,Yes,43.0,1355.0
sully_720,Yes,54.0,5490.0
daviddortizco,No,37.0,1461.0
chapmancohd39,No,27.0,123.0
naquettaricks,No,52.0,895.0
imanforcolorado,No,38.0,4964.0
jackson4co,Yes,,1208.0
jennforcolorado,No,,369.0
katieforcohd45,No,,702.0
dlesgar,Yes,41.0,3848.0
bri4co,Yes,,1833.0
repmaryyoung,Yes,70.0,266.0
cathy_kipp,Yes,57.0,923.0
colincaresforco,No,36.0,18.0
scagin,No,67.0,126.0
mccluskieforco,Yes,56.0,1893.0
diannekrumel,No,,178.0
mariewoodsonfl,No,,339.0
cindypolofl103,Yes,31.0,5034.0
maureenfor105,No,32.0,692.0
votemcfadden,No,72.0,1718.0
collazofor110,No,,673.0
votebado,No,,239.0
franccesca4fl,No,,521.0
bob4florida,No,,2386.0
rickyjunquera,No,34.0,613.0
clintforflorida,No,39.0,257.0
kayserenneking,No,,1593.0
byramfl,No,64.0,184.0
cynthiaforhouse,No,22.0,431.0
voteadammorley,No,,122.0
zutterforfl,No,,350.0
henryfor26,No,,264.0
doloresfor27,No,,847.0
pashaforfl,No,,1014.0
tracey4florida,No,,1124.0
joyforfl,Yes,52.0,1111.0
crissystile,No,,106.0
danforpasco,No,,
votetammygarcia,No,,362.0
gostaver2020,No,,15.0
itschriscause,No,,254.0
janforflorida40,No,,
jaredforflorida,No,,493.0
daisy4florida,No,,56.0
carlosgsmith,Yes,39.0,19632.0
ninaforflorida,No,,
dabbsford52,No,,
philmooreforfl,No,46.0,407.0
trippforflorida,No,,
andrewlearned,No,33.0,9954.0
jenkinsforfl,No,,550.0
fentriceforfl,Yes,41.0,2136.0
jhforfl,No,35.0,6009.0
kelly4florida,No,,539.0
mele_71,No,,74.0
buckmanforfl,No,51.0,247.0
lisastortstrom,No,53.0,421.0
anselmweber,No,,380.0
votelopezfor77,No,36.0,
fornearforhd79,No,,927.0
novosad4florida,No,,101.0
elisaforflorida,No,,132.0
delores_fl,Yes,71.0,419.0
jimcarrollcamp1,No,,
omarijhardy,No,,167498.0
bonfigliojim89,No,67.0,549.0
electlinda2020,No,72.0,227.0
christineforfla,No,,59.0
cooper4georgia,No,,175.0
greggkennard,Yes,54.0,462.0
cwmar312,No,65.0,34.0
nakitahemingway,No,44.0,405.0
repdonnamcleod,Yes,52.0,1200.0
rebecca4georgia,No,39.0,1792.0
shellyforga,Yes,49.0,1664.0
jasmineforhd108,Yes,37.0,2961.0
reginalewisward,No,27.0,2450.0
ebony4georgia,No,24.0,
hollyforga111,Yes,44.0,1189.0
irishlassis,No,,1431.0
spencerfrye,Yes,,1985.0
wallacefor119,No,41.0,1567.0
hollifieldhouse,No,,40.0
chrisbentonga,No,,3959.0
sprayberry4ga,No,,96.0
arnett4georgia,No,,430.0
stephenforga,No,,133.0
awungregina,No,,15.0
electjoybarlow,No,,595.0
gleasonforga,No,42.0,190.0
marcusforga164,No,,114.0
ibackmackforga1,No,34.0,20.0
votearrendale,No,29.0,38.0
juliejordan4ga,No,54.0,900.0
qdaileyhouserep,No,,17.0
alisonforga,No,52.0,7.0
ginnyforga20,No,,257.0
charlesravensc1,No,,282.0
nhouse24,No,31.0,192.0
